name,Reference,inchi,Organism,DetectedBy,TypeOfExperiment,TypeOfDetection,Comments,,,
lead,10.1021/sb500286r,InChI=1S/Pb,Bacillus subtilis,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
malonyl-CoA,10.1021/acssynbio.5b00161,"InChI=1S/C24H38N7O19P3S/c1-24(2,19(37)22(38)27-4-3-13(32)26-5-6-54-15(35)7-14(33)34)9-47-53(44,45)50-52(42,43)46-8-12-18(49-51(39,40)41)17(36)23(48-12)31-11-30-16-20(25)28-10-29-21(16)31/h10-12,17-19,23,36-37H,3-9H2,1-2H3,(H,26,32)(H,27,38)(H,33,34)(H,42,43)(H,44,45)(H2,25,28,29)(H2,39,40,41)",Bacillus subtilis,,in vivo,,"The malonyl-CoA sensor was developed based on the FapR transcription factor of Bacillus subtilis, and it demonstrates one of the first applications of a bacterial metabolite sensor in yeast.",,,
theophylline,10.1021/acssynbio.7b00171,"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)",Bdellovibrio bacteriovorus,riboswitch,in vivo,direct,identified theophylline-activated riboswitches that function in B.bacteriovorus,,,
thrombin,10.1021/sb4000756,,cell-free,Riboswitch,in vitro,direct,a DNA aptamer that binds thrombin and the T7 bacteriophage promoter,,,
quinic acid ,10.1021/acssynbio.7b00149,"InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)/t3-,4-,5?,7?/m1/s1",Chinese hamster ovary (CHO),,in vivo,indirect,"This work establishes a novel genetic tool, called LacQ, that functions to regulate gene expression in Chinese hamster ovarian (CHO) cells, human embryonic kidney 293 (HEK293) cells, and in mouse embryonic stem (ES) cells",,,
doxycycline,10.1021/acssynbio.5b00141,"InChI=1S/C22H24N2O8/c1-7-8-5-4-6-9(25)11(8)16(26)12-10(7)17(27)14-15(24(2)3)18(28)13(21(23)31)20(30)22(14,32)19(12)29/h4-7,10,14-15,17,25-27,30,32H,1-3H3,(H2,23,31)/t7-,10+,14+,15-,17-,22-/m0/s1",Chinese hamster ovary (CHO),transcription factor,in vivo,direct,"addition of tetracycline or doxycycline to the culture medium, tTA detaches from the CMV-TET promoter, thus preventing the expression of d2EYFP. This",,,
tetracycline,10.1021/acssynbio.5b00141,"InChI=1S/C22H24N2O8/c1-21(31)8-5-4-6-11(25)12(8)16(26)13-9(21)7-10-15(24(2)3)17(27)14(20(23)30)19(29)22(10,32)18(13)28/h4-6,9-10,15,25-26,29,31-32H,7H2,1-3H3,(H2,23,30)/t9-,10-,15-,21+,22-/m0/s1",Chinese hamster ovary (CHO),transcription factor,in vivo,direct,tetracycline- inducible promoter in mammalian cells,,,
p-coumaric acid ,10.1021/acssynbio.7b00009,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+",Corynebacterium glutamicum,PadR,in vivo,direct,"p-coumaric acid biosensor based on the Bacillus subtilis transcriptional repressor PadR by varying its ribosomal binding site. Furthermore, we demonstrate the functionality of this p-coumaric acid biosensor in Escherichia coli and Corynebacterium glutamicum.",,,
l-arginine,10.1021/sb400059y,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1",Corynebacterium glutamicum,pSenLys-Spc,in vivo,,"We randomly mutagenized plasmid-encoded ArgB of Corynebacterium glutamicum and screened the library in a strain carrying the sensor pSenLys-Spc, which detects l-lysine, l-arginine and l-histidine.",,,
l-histidine,10.1021/sb400059y,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1",Corynebacterium glutamicum,pSenLys-Spc,in vivo,,"We randomly mutagenized plasmid-encoded ArgB of Corynebacterium glutamicum and screened the library in a strain carrying the sensor pSenLys-Spc, which detects l-lysine, l-arginine and l-histidine.",,,
l-lysine,10.1021/sb400059y,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1",Corynebacterium glutamicum,pSenLys-Spc,in vivo,,"We randomly mutagenized plasmid-encoded ArgB of Corynebacterium glutamicum and screened the library in a strain carrying the sensor pSenLys-Spc, which detects l-lysine, l-arginine and l-histidine.",,,
cadmium,10.1021/sb500286r,InChI=1S/Cd,Deinococcus radiodurans,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
urate,10.1021/sb500258b,"InChI=1S/C5H4N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h(H4,6,7,8,9,10,11,12)",Deinococcus radiodurans,,,,The closed-loop device senses urate levels via the HucR transcriptional repressor from Deinococcus radiodurans R1.,,,
mevalonate,10.1002/anie.201006083,"InChI=1S/C6H12O4/c1-6(10,2-3-7)4-5(8)9/h7,10H,2-4H2,1H3,(H,8,9)/p-1",Escherichia coli,Arac,in vivo,direct,The regulatory protein AraC in Escherichia coli was engineered to respond to the inducer mevalonate,,,
p-coumaric acid ,10.1021/acssynbio.7b00009,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+",Escherichia coli,PadR,in vivo,direct,"p-coumaric acid biosensor based on the Bacillus subtilis transcriptional repressor PadR by varying its ribosomal binding site. Furthermore, we demonstrate the functionality of this p-coumaric acid biosensor in Escherichia coli and Corynebacterium glutamicum.",,,
CAI-1,10.1021/acssynbio.7b00058,"InChI=1S/C13H26O2/c1-3-5-6-7-8-9-10-11-13(15)12(14)4-2/h12,14H,3-11H2,1-2H3/t12-/m0/s1",Escherichia coli,,in vivo,,Our engineered Escherichia coli specifically detects V. cholerae via its quorum-sensing molecule CAI-1,,,
zinc,10.1021/acssynbio.7b00292,InChI=1S/Zn,Escherichia coli,transcription factor,in vivo,direct,Development of a Pigment-Based Whole-Cell Zinc Biosensor for Human Serum,,,
caffeine,10.1021/acssynbio.7b00266,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",Escherichia coli,split-DBD,in vivo,direct,We then characterized the behavior of cells expressing LexA-VHH fusions in response to increasing concentrations of IPTG and caffeine,,,
IPTG,10.1021/acssynbio.7b00266,"InChI=1S/C9H18O5S/c1-4(2)15-9-8(13)7(12)6(11)5(3-10)14-9/h4-13H,3H2,1-2H3/t5-,6+,7+,8-,9+/m1/s1",Escherichia coli,split-DBD,in vivo,direct,We then characterized the behavior of cells expressing LexA-VHH fusions in response to increasing concentrations of IPTG and caffeine,,,
p-isopropylbenzoate,10.1128/AEM.00413-10,"InChI=1S/2C3H7NS2.Cu/c2*1-4(2)3(5)6;/h2*1-2H3,(H,5,6);/q;;+2/p-2",Escherichia coli,cymR,in vivo,direct,control target gene expression at the tran- scriptional level by using p-isopropylbenzoate (cumate) as an inducer,,,
"3,4-dihydroxybenzoate",10.1021/acssynbio.6b00159,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)/p-1",Escherichia coli,,in vivo,direct,variants through a single-cell biosensor technology previously developed in our laboratory.,,,
ammeline,10.1021/acssynbio.6b00199,"InChI=1S/C3H5N5O/c4-1-6-2(5)8-3(9)7-1/h(H5,4,5,6,7,8,9)",Escherichia coli,riboswitch,in vivo,direct,"riboswitches responsive to ammeline and pyrimido[4,5-d]pyrimidine-2,4-diamine, respectively, and a 2,4,6-trinitrotoluene-responsive riboswitch developed in this study.",,,
" pyrimido[4,5-d]pyrimidine-2,4-diamine",10.1021/acssynbio.6b00199,"InChI=1S/C6H6N6/c7-4-3-1-9-2-10-5(3)12-6(8)11-4/h1-2H,(H4,7,8,9,10,11,12)",Escherichia coli,riboswitch,in vivo,direct,"riboswitches responsive to ammeline and pyrimido[4,5-d]pyrimidine-2,4-diamine, respectively, and a 2,4,6-trinitrotoluene-responsive riboswitch developed in this study.",,,
"2,4,6-trinitrotoluene",10.1021/acssynbio.6b00199,"InChI=1S/C7H5N3O6/c1-4-6(9(13)14)2-5(8(11)12)3-7(4)10(15)16/h2-3H,1H3",Escherichia coli,riboswitch,in vivo,direct,"riboswitches responsive to ammeline and pyrimido[4,5-d]pyrimidine-2,4-diamine, respectively, and a 2,4,6-trinitrotoluene-responsive riboswitch developed in this study.",,,
arsenic,10.1021/acssynbio.6b00364,InChI=1S/As,Escherichia coli,ArsR,in vivo,direct,Bioreporters based on the Escherichia coli ArsR system,,,
formaldehyde,10.1021/acssynbio.7b00114,InChI=1S/CH2O/c1-2/h1H2,Escherichia coli,promoter,in vivo,,formaldehyde-inducible Escherichia coli promoter,,,
1-butanol,10.1021/sb300091d,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",Escherichia coli,BmoR,in vivo,direct,"For this reason, only data up to the toxicity limit for each inducer were collected; data were fit with the Hill equation to mathematically describe biosensor transfer functions, or dose???response curves, and derive biosensor performance features (Table 2).",,,
ammonium,10.1021/acssynbio.7b00069,InChI=1S/H3N/h1H3/p+1,Escherichia coli,GlnRA,in vivo,direct,"By harnessing the Lactococcus GlnRA system, we developed a genetically encoded, cross-species ammonium biosensor",,,
1-heptanol,10.1021/sb300091d,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",Escherichia coli,BmoR,in vivo,direct,"For this reason, only data up to the toxicity limit for each inducer were collected; data were fit with the Hill equation to mathematically describe biosensor transfer functions, or dose???response curves, and derive biosensor performance features (Table 2).",,,
1-hexanol,10.1021/sb300091d,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",Escherichia coli,BmoR,in vivo,direct,"For this reason, only data up to the toxicity limit for each inducer were collected; data were fit with the Hill equation to mathematically describe biosensor transfer functions, or dose???response curves, and derive biosensor performance features (Table 2).",,,
1-pentanol,10.1021/sb300091d,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",Escherichia coli,BmoR,in vivo,direct,"For this reason, only data up to the toxicity limit for each inducer were collected; data were fit with the Hill equation to mathematically describe biosensor transfer functions, or dose???response curves, and derive biosensor performance features (Table 2).",,,
"1,2,4-butanetriol",10.1021/sb400156v,"InChI=1S/C4H10O3/c5-2-1-4(7)3-6/h4-7H,1-3H2",Escherichia coli,transcription factor,in vivo,,"increased Escherichia coli tolerance to ethanol, n-, 2-, and i-butanol, as well as 1,2,4- butanetriol",,,
2-aminophenol,10.1021/sb400112u,"InChI=1S/C6H7NO/c7-5-3-1-2-4-6(5)8/h1-4,8H,7H2",Escherichia coli,DmpR,in vivo,direct,"Since DmpR in GESS can be activated by a wide range of phenolic derivatives,(10) we investigated the ability of 20 different chemicals to induce DmpR transcription (Figure 5A).",,,
2-chloro-4-nitrophenol,10.1021/acssynbio.5b00225,"InChI=1S/C6H4ClNO3/c7-5-3-4(8(10)11)1-2-6(5)9/h1-3,9H",Escherichia coli,LinR,in vivo,indirect,Fig.4,,,
2-chlorophenol,10.1021/sb400112u,"InChI=1S/C6H5ClO/c7-5-3-1-2-4-6(5)8/h1-4,8H",Escherichia coli,DmpR,in vivo,direct,"Since DmpR in GESS can be activated by a wide range of phenolic derivatives,(10) we investigated the ability of 20 different chemicals to induce DmpR transcription (Figure 5A).",,,
2-deoxy-2-fluoro-l-rhamnose,10.1021/acssynbio.6b00030,,Escherichia coli,RhaS,in vivo,direct,"The panel of 35 analogues of l-rhamnose studied here induced expression of the rhaBAD promoter to a wide range of levels. [...] These promising compounds were l-mannose, l-lyxose, l-olivose, 2-deoxy-2-fluoro-l-rhamnose and 6-deoxy-l-altrose.",,,
2-ethylphenol,10.1021/sb400112u,"InChI=1S/C8H10O/c1-2-7-5-3-4-6-8(7)9/h3-6,9H,2H2,1H3",Escherichia coli,DmpR,in vivo,direct,"Since DmpR in GESS can be activated by a wide range of phenolic derivatives,(10) we investigated the ability of 20 different chemicals to induce DmpR transcription (Figure 5A).",,,
2-fluorophenol,10.1021/sb400112u,"InChI=1S/C6H5FO/c7-5-3-1-2-4-6(5)8/h1-4,8H",Escherichia coli,DmpR,in vivo,direct,"Since DmpR in GESS can be activated by a wide range of phenolic derivatives,(10) we investigated the ability of 20 different chemicals to induce DmpR transcription (Figure 5A).",,,
2-hydroxyphenol,10.1021/sb400112u,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",Escherichia coli,DmpR,in vivo,direct,"Since DmpR in GESS can be activated by a wide range of phenolic derivatives,(10) we investigated the ability of 20 different chemicals to induce DmpR transcription (Figure 5A).",,,
2-iodophenol,10.1021/sb400112u,"InChI=1S/C6H5IO/c7-5-3-1-2-4-6(5)8/h1-4,8H",Escherichia coli,DmpR,in vivo,direct,"Since DmpR in GESS can be activated by a wide range of phenolic derivatives,(10) we investigated the ability of 20 different chemicals to induce DmpR transcription (Figure 5A).",,,
2-methoxyphenol,10.1021/sb400112u,"InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3",Escherichia coli,DmpR,in vivo,direct,"Since DmpR in GESS can be activated by a wide range of phenolic derivatives,(10) we investigated the ability of 20 different chemicals to induce DmpR transcription (Figure 5A).",,,
2-methyl-1-butanol,10.1021/sb300091d,"InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3",Escherichia coli,BmoR,in vivo,direct,"For this reason, only data up to the toxicity limit for each inducer were collected; data were fit with the Hill equation to mathematically describe biosensor transfer functions, or dose???response curves, and derive biosensor performance features (Table 2).",,,
2-methyl-1-propanol,10.1021/sb300091d,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",Escherichia coli,BmoR,in vivo,direct,"For this reason, only data up to the toxicity limit for each inducer were collected; data were fit with the Hill equation to mathematically describe biosensor transfer functions, or dose???response curves, and derive biosensor performance features (Table 2).",,,
"2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran",10.1021/sb400068z,"InChI=1S/C5H10O5/c1-4(7)5(8,9)3(6)2-10-4/h3,6-9H,2H2,1H3",Escherichia coli,LsrR,,indirect,"AI-2 is not a single discrete compound, but a family of 2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran or furanosyl borate diester isomers derived from the intermediate molecule, DPD.",,,
2-methylphenol,10.1021/sb400112u,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",Escherichia coli,DmpR,in vivo,direct,"Since DmpR in GESS can be activated by a wide range of phenolic derivatives,(10) we investigated the ability of 20 different chemicals to induce DmpR transcription (Figure 5A).",,,
2-nitrophenol,10.1021/sb400112u,"InChI=1S/C6H5NO3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H",Escherichia coli,DmpR,in vivo,direct,"Since DmpR in GESS can be activated by a wide range of phenolic derivatives,(10) we investigated the ability of 20 different chemicals to induce DmpR transcription (Figure 5A).",,,
3-chlorophenol,10.1021/sb400112u,"InChI=1S/C6H5ClO/c7-5-2-1-3-6(8)4-5/h1-4,8H",Escherichia coli,DmpR,in vivo,direct,"Since DmpR in GESS can be activated by a wide range of phenolic derivatives,(10) we investigated the ability of 20 different chemicals to induce DmpR transcription (Figure 5A).",,,
3-methyl-1-butanol,10.1021/sb300091d,"InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3",Escherichia coli,BmoR,in vivo,direct,"For this reason, only data up to the toxicity limit for each inducer were collected; data were fit with the Hill equation to mathematically describe biosensor transfer functions, or dose???response curves, and derive biosensor performance features (Table 2).",,,
3-methyl-1-pentanol,10.1021/sb300091d,"InChI=1S/C6H14O/c1-3-6(2)4-5-7/h6-7H,3-5H2,1-2H3",Escherichia coli,BmoR,in vivo,direct,"For this reason, only data up to the toxicity limit for each inducer were collected; data were fit with the Hill equation to mathematically describe biosensor transfer functions, or dose???response curves, and derive biosensor performance features (Table 2).",,,
3-methylphenol,10.1021/sb400112u,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",Escherichia coli,DmpR,in vivo,direct,"Since DmpR in GESS can be activated by a wide range of phenolic derivatives,(10) we investigated the ability of 20 different chemicals to induce DmpR transcription (Figure 5A).",,,
3-nitrophenol,10.1021/sb400112u,"InChI=1S/C6H5NO3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H",Escherichia coli,DmpR,in vivo,direct,"Since DmpR in GESS can be activated by a wide range of phenolic derivatives,(10) we investigated the ability of 20 different chemicals to induce DmpR transcription (Figure 5A).",,,
3OC6HSL,10.1021/acssynbio.5b00158,"InChI=1S/C10H15NO4/c1-2-3-7(12)6-9(13)11-8-4-5-15-10(8)14/h8H,2-6H2,1H3,(H,11,13)/t8-/m0/s1",Escherichia coli,transcription factor,in vivo,direct,which binds to the activator (LuxR) and activates the pluxR promoter.,,,
3OC6HSL,10.1021/sb400052f,"InChI=1S/C10H15NO4/c1-2-3-7(12)6-9(13)11-8-4-5-15-10(8)14/h8H,2-6H2,1H3,(H,11,13)/t8-/m0/s1",Escherichia coli,transcription factor,in vivo,direct,quorum- sensing regulatory components of the lux operon,,,
4-chlorophenol,10.1021/sb400112u,"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H",Escherichia coli,DmpR,in vivo,direct,"Since DmpR in GESS can be activated by a wide range of phenolic derivatives,(10) we investigated the ability of 20 different chemicals to induce DmpR transcription (Figure 5A).",,,
4-methyl-1-pentanol,10.1021/sb300091d,"InChI=1S/C6H14O/c1-6(2)4-3-5-7/h6-7H,3-5H2,1-2H3",Escherichia coli,BmoR,in vivo,direct,"For this reason, only data up to the toxicity limit for each inducer were collected; data were fit with the Hill equation to mathematically describe biosensor transfer functions, or dose???response curves, and derive biosensor performance features (Table 2).",,,
4-methyl-phenol,10.1021/sb400112u,"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3",Escherichia coli,DmpR,in vivo,direct,"Since DmpR in GESS can be activated by a wide range of phenolic derivatives,(10) we investigated the ability of 20 different chemicals to induce DmpR transcription (Figure 5A).",,,
4-nitrophenol,10.1021/acssynbio.5b00225,"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H",Escherichia coli,DmpR,in vivo,direct,Fig.4,,,
4-nitrophenol,10.1021/acssynbio.6b00061,"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H",Escherichia coli,transcription factor,in vivo,direct,"a sensing module, containing dmpR for the detection of 4-nitrophenol",,,
4-nitrophenol,10.1021/sb400112u,"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H",Escherichia coli,DmpR,in vivo,direct,"Note that mutant DmpR(E135K) recognizes both 4-nitrophenol and phenol, whose details will be discussed in later sections.",,,
"4,5-dihydroxy-2,3-pentanedione",10.1021/sb400068z,"InChI=1S/C5H8O4/c1-3(7)5(9)4(8)2-6/h4,6,8H,2H2,1H3/t4-/m0/s1",Escherichia coli,LsrR,,indirect,"[...]  the AI-2 synthase gene, luxS, converts S-ribosylhomocysteine (SRH) to 4,5-dihydroxy-2,3-pentanedione (DPD), which then cyclizes in solution to create the various AI-2 isoforms.",,,
6-deoxy-l-altrose,10.1021/acssynbio.6b00030,"InChI=1S/C6H12O5/c1-3(8)5(10)6(11)4(9)2-7/h2-6,8-11H,1H3/t3-,4-,5-,6+",Escherichia coli,RhaS,in vivo,direct,"The panel of 35 analogues of l-rhamnose studied here induced expression of the rhaBAD promoter to a wide range of levels. [...] These promising compounds were l-mannose, l-lyxose, l-olivose, 2-deoxy-2-fluoro-l-rhamnose and 6-deoxy-l-altrose.",,,
acid benzoic,10.1021/acssynbio.5b00225,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",Escherichia coli,BenR,in vivo,direct,Fig.4,,,
acyl-homoserine lactone,10.1021/sb4000965,"InChI=1S/C5H7NO3/c7-3-6-4-1-2-9-5(4)8/h3-4H,1-2H2,(H,6,7)/t4-/m0/s1",Escherichia coli,EsaR,,,"The engineered promoters, LEE and TTE, contain binding sites for the QS-dependent repressor, EsaR, and either LacI or TetR, and they are induced by an acyl-homoserine lactone (AHL) signal and IPTG or aTc.",,,
adipate,10.1021/sb300091d,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",Escherichia coli,PcaR,in vivo,direct,"The ??-ketoadipate-responsive PcaR-PpcaIJ transcription factor-promoter pair from Pseudomonas putida, which has been previously characterized,(49, 50) was chosen for the construction of the adipate biosensor.",,,
AHL.,10.1021/sb300129j,"InChI=1S/C5H7NO3/c7-3-6-4-1-2-9-5(4)8/h3-4H,1-2H2,(H,6,7)/t4-/m0/s1",Escherichia coli,transcription factor,in vivo,direct,When the concentration of AHL reaches a critical threshold the LuxR-AHL dimer formed initiates transcription of gene lacI,,,
AI-2,10.1021/acssynbio.6b00079,"InChI=1S/C5H10BO7/c1-4-5(8,3(7)2-11-4)13-6(9,10)12-4/h3,7-10H,2H2,1H3/q-1/t3-,4+,5+/m0/s1",Escherichia coli,transcription factor,in vivo,indirect,"There are two well established pathways, both using a two component sensor proteins, namely CqsS and LuxPQ which sense CAI-1 and AI-2 molecules, respectively",,,
Allo-lactose,10.1021/sb300098w,"InChI=1S/C12H22O11/c13-1-3-5(14)8(17)10(19)12(23-3)21-2-4-6(15)7(16)9(18)11(20)22-4/h3-20H,1-2H2/t3-,4-,5+,6-,7+,8+,9-,10-,11?,12-/m1/s1",Escherichia coli,LacI,in vivo,direct,"Since LacI is a repressor, we should expect that GFP decreases",,,
alpha-factor pheromon,10.1021/sb5003482,"InChI=1S/C82H114N20O18S/c1-45(2)34-61(98-76(112)63(38-49-41-89-56-17-9-7-15-53(49)56)99-77(113)64(39-50-42-87-44-91-50)96-71(107)54(84)37-48-40-88-55-16-8-6-14-52(48)55)74(110)93-57(25-27-68(85)104)72(108)97-62(35-46(3)4)75(111)95-59(18-10-11-30-83)80(116)101-31-12-19-66(101)78(114)90-43-70(106)92-60(26-28-69(86)105)81(117)102-32-13-20-67(102)79(115)94-58(29-33-121(5)120)73(109)100-65(82(118)119)36-47-21-23-51(103)24-22-47/h6-9,14-17,21-24,40-42,44-46,54,57-67,88-89,103H,10-13,18-20,25-39,43,83-84H2,1-5H3,(H2,85,104)(H2,86,105)(H,87,91)(H,90,114)(H,92,106)(H,93,110)(H,94,115)(H,95,111)(H,96,107)(H,97,108)(H,98,112)(H,99,113)(H,100,109)(H,118,119)/t54-,57-,58-,59-,60-,61-,62-,63?,64-,65?,66-,67-,121?/m0/s1",Escherichia coli,transcription factor,in vivo,indirect,"mating pathway response, upon stimulation with 1 ??M??-factor",,,
anhydrotetracycline,10.1021/sb4000965,"InChI=1S/C22H22N2O7/c1-8-9-5-4-6-12(25)13(9)17(26)14-10(8)7-11-16(24(2)3)18(27)15(21(23)30)20(29)22(11,31)19(14)28/h4-6,11,16,25-26,29,31H,7H2,1-3H3,(H2,23,30)/t11-,16-,22-/m0/s1",Escherichia coli,TetR,,,"The engineered promoters, LEE and TTE, contain binding sites for the QS-dependent repressor, EsaR, and either LacI or TetR, and they are induced by an acyl-homoserine lactone (AHL) signal and IPTG or aTc.",,,
anhydrotetracycline (atc),10.1021/sb300098w,"InChI=1S/C22H22N2O7/c1-8-9-5-4-6-12(25)13(9)17(26)14-10(8)7-11-16(24(2)3)18(27)15(21(23)30)20(29)22(11,31)19(14)28/h4-6,11,16,25-26,29,31H,7H2,1-3H3,(H2,23,30)/t11-,16-,22-/m0/s1",Escherichia coli,transcription factor,in vivo,direct,The upstream transcription component takes as input atc (u),,,
antimony,10.1021/sb500286r,InChI=1S/Sb,Escherichia coli,,,,Current Single-Input Microbial Biosensors Designated for the Detection of Heavy Metals,,,
arginine,10.1021/sb500343g,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)",Escherichia coli,transcription factor,in vivo,direct,"is modulated by the arginine repressor (ArgR). With arginine as corepressor, ArgR tightly binds to the argG promoter region",,,
